province_id,rgb,barony,county,duchy,kingdom,empire,graphical_region,mapping_scope,mapping_key,component_id,style_component_id,adjacency_warning,review_status,reason
1697,39:97:100,b_ruttingkeep,c_rutting,d_blackwood_vale,k_armistia,e_the_riverlands,graphical_western,county,c_rutting,1,1,,reviewed,Restore NOW-displaced northern Riverlands coverage
1698,47:93:128,b_cairns,c_rutting,d_blackwood_vale,k_armistia,e_the_riverlands,graphical_western,county,c_rutting,1,1,,reviewed,Restore NOW-displaced northern Riverlands coverage
1699,43:68:81,b_rutting_meadow,c_rutting,d_blackwood_vale,k_armistia,e_the_riverlands,graphical_western,county,c_rutting,1,1,,reviewed,Restore NOW-displaced northern Riverlands coverage
1700,97:112:121,b_whispering_wood,c_rutting,d_blackwood_vale,k_armistia,e_the_riverlands,graphical_western,county,c_rutting,1,1,,reviewed,Restore NOW-displaced northern Riverlands coverage
1701,41:99:102,b_blackbuckle,c_rutting,d_blackwood_vale,k_armistia,e_the_riverlands,graphical_western,county,c_rutting,1,1,,reviewed,Restore NOW-displaced northern Riverlands coverage
10946,178:151:73,b_R172G190B26,c_R210G151B22,d_R11G129B100,k_R247G212B175,e_jogos_nhai,graphical_steppe,empire,e_jogos_nhai,1,1,mapping_has_11_components,approved_disconnected,Jogos Nhai includes disconnected frontier components
10947,123:131:66,b_R102G241B197,c_R190G163B169,d_R61G25B77,k_R220G136B191,e_ulthos,graphical_india,empire,e_ulthos,1,1,mapping_has_2_components,approved_disconnected,Ulthos includes a separately painted coastal component
10948,133:149:116,b_R58G71B48,c_R242G3B92,d_R23G243B1,k_R13G108B229,e_norvos,graphical_mediterranean,empire,e_norvos,1,1,,reviewed,Free City architectural family
10949,114:149:100,b_R230G151B164,c_R84G160B34,d_R25G59B12,k_R23G24B83,e_great_moraq,graphical_india,empire,e_great_moraq,1,2,,reviewed,Southern Essos island architecture
10950,193:202:79,b_R154G211B29,c_R63G161B163,d_R56G19B157,k_R168G94B91,e_upper_sarne_dothraki,graphical_steppe,empire,e_upper_sarne_dothraki,1,2,,reviewed,Dothraki grasslands
10951,170:194:93,b_R65G88B147,c_R96G103B228,d_R236G126B142,k_R94G218B71,e_upper_sarne_dothraki,graphical_steppe,empire,e_upper_sarne_dothraki,1,2,,reviewed,Dothraki grasslands
10952,117:147:110,b_R57G85B97,c_R130G177B100,d_R53G140B216,k_R206G5B201,e_thousand_islands,graphical_east_asia,empire,e_thousand_islands,1,1,mapping_has_4_components,approved_disconnected,Eastern island architecture
10953,178:146:99,b_R244G238B113,c_R94G199B85,d_R231G23B54,k_R162G105B191,e_lhazar,graphical_mena,empire,e_lhazar,1,1,,reviewed,Lhazarene and eastern dryland architecture
10954,203:207:104,b_R17G186B196,c_R65G165B86,d_R246G41B220,k_R242G77B91,e_great_grass_sea_dothraki,graphical_steppe,empire,e_great_grass_sea_dothraki,1,2,,reviewed,Dothraki grasslands
10956,160:141:187,b_R96G16B163,c_R233G195B87,d_R28G255B120,k_R156G226B228,e_great_moraq,graphical_india,empire,e_great_moraq,1,2,,reviewed,Southern Essos island architecture
10957,97:111:97,b_R176G125B57,c_R97G20B19,d_R148G142B163,k_R220G136B191,e_ulthos,graphical_india,empire,e_ulthos,1,1,mapping_has_2_components,approved_disconnected,Ulthos includes a separately painted coastal component
10959,180:149:91,b_R144G200B48,c_R186G153B159,d_R96G6B240,k_R214G108B201,e_golden_yi_ti,graphical_east_asia,empire,e_golden_yi_ti,1,2,mapping_has_4_components,approved_disconnected,Yi Ti includes coastal and island components
10960,167:121:177,b_R118G208B204,c_R35G214B255,d_R141G70B61,k_R231G165B51,e_bone_mountain_dothraki,graphical_steppe,empire,e_bone_mountain_dothraki,1,2,,reviewed,Dothraki and Jogos frontier
10961,141:148:158,b_R26G89B58,c_R9G134B51,d_R13G254B221,k_R12G116B86,e_lesser_moraq,graphical_india,empire,e_lesser_moraq,1,3,mapping_has_6_components,approved_disconnected,Southern Essos island architecture
10962,196:127:89,b_R197G170B221,c_R231G224B109,d_R145G62B183,k_R109G14B184,e_golden_yi_ti,graphical_east_asia,empire,e_golden_yi_ti,1,2,mapping_has_4_components,approved_disconnected,Yi Ti includes coastal and island components
10963,208:165:73,b_R84G226B132,c_R203G117B219,d_R208G13B56,k_R62G247B214,e_jogos_nhai,graphical_steppe,empire,e_jogos_nhai,1,1,mapping_has_11_components,approved_disconnected,Jogos Nhai includes disconnected frontier components
10964,114:145:126,b_R97G110B150,c_R17G195B19,d_R19G246B85,k_R184G38B67,e_ifequevron,graphical_siberia,empire,e_ifequevron,1,1,,reviewed,Northern forest realm
10965,170:152:125,b_R142G87B164,c_R153G146B142,d_R104G124B189,k_R235G188B132,e_bloodless_men,graphical_east_asia,empire,e_bloodless_men,1,2,,reviewed,Eastern Essos architectural family
10966,137:183:85,b_R78G19B28,c_R122G101B243,d_R222G102B11,k_R93G216B215,e_upper_sarne_dothraki,graphical_steppe,empire,e_upper_sarne_dothraki,1,2,,reviewed,Dothraki grasslands
10967,174:172:102,b_R44G99B137,c_R230G69B79,d_R127G31B145,k_R214G108B201,e_golden_yi_ti,graphical_east_asia,empire,e_golden_yi_ti,1,2,mapping_has_4_components,approved_disconnected,Yi Ti includes coastal and island components
10968,66:158:85,b_R232G195B165,c_R244G198B106,d_R14G65B130,k_R167G35B218,e_ulthos,graphical_india,empire,e_ulthos,1,1,mapping_has_2_components,approved_disconnected,Ulthos includes a separately painted coastal component
10969,213:220:102,b_R116G243B199,c_R18G186B45,d_R63G211B67,k_R141G138B52,e_golden_yi_ti,graphical_east_asia,empire,e_golden_yi_ti,1,2,mapping_has_4_components,approved_disconnected,Yi Ti includes coastal and island components
10970,135:164:160,b_R29G199B249,c_R147G198B173,d_R123G15B86,k_R13G108B229,e_norvos,graphical_mediterranean,empire,e_norvos,1,1,,reviewed,Free City architectural family
10971,179:165:99,b_R205G254B206,c_R156G107B38,d_R71G199B57,k_R205G146B11,e_lower_sarne_dothraki,graphical_steppe,empire,e_lower_sarne_dothraki,1,2,,reviewed,Dothraki grasslands
10972,193:161:125,b_R216G192B72,c_R246G23B31,d_R173G29B222,k_R162G105B191,e_lhazar,graphical_mena,empire,e_lhazar,1,1,,reviewed,Lhazarene and eastern dryland architecture
10973,158:161:97,b_R139G233B175,c_R87G93B25,d_R192G69B2,k_R72G217B95,e_lhazar,graphical_mena,empire,e_lhazar,1,1,,reviewed,Lhazarene and eastern dryland architecture
10974,213:155:165,b_R189G248B99,c_R176G150B83,d_R60G23B175,k_R235G188B132,e_bloodless_men,graphical_east_asia,empire,e_bloodless_men,1,2,,reviewed,Eastern Essos architectural family
